dataset,method,seed,revenue,accept_rate,avg_price,sla_violation_rate,mean_recall,avg_cost
sift1m,fixed,42,47.631857,0.9758,0.005294,0.0046,,0.00022101
sift1m,sla,42,46.049173,0.9946,0.005,0.0038,,0.00036808
sift1m,cost,42,47.494413,0.9934,0.005,0.0038,,0.00021756
sift1m,linucb,42,49.621739,0.836,0.007672,0.0048,,0.00025523
sift1m,naive_dqn,42,52.388952,0.8391,0.007896,0.0045,,0.0002495
sift1m,naive_dr,42,52.329731,0.8395,0.007881,0.0053,,0.00025153
sift1m,qnet,42,52.964265,0.8398,0.007982,0.0047,,0.00024927
sift1m,fixed,123,47.589408,0.9796,0.005253,0.0076,,0.00023436
sift1m,sla,123,45.865245,0.9929,0.005,0.0039,,0.00037798
sift1m,cost,123,47.412603,0.9941,0.005,0.0051,,0.00022924
sift1m,linucb,123,49.127692,0.8336,0.007682,0.0055,,0.00026493
sift1m,naive_dqn,123,51.471969,0.8395,0.007837,0.0058,,0.0002605
sift1m,naive_dr,123,51.438898,0.8394,0.007821,0.0054,,0.00025621
sift1m,qnet,123,52.160156,0.8388,0.007932,0.0049,,0.00025638
sift1m,fixed,456,47.262043,0.9782,0.005242,0.0065,,0.0002423
sift1m,sla,456,45.949102,0.9937,0.005,0.0047,,0.00037359
sift1m,cost,456,47.397812,0.993,0.005,0.0058,,0.00022522
sift1m,linucb,456,49.037845,0.8364,0.007623,0.0067,,0.00025682
sift1m,naive_dqn,456,52.30578,0.8467,0.0078,0.0063,,0.00025822
sift1m,naive_dr,456,52.311282,0.8453,0.00783,0.0046,,0.00025577
sift1m,qnet,456,52.790836,0.8417,0.008005,0.005,,0.00025542
sift1m,fixed,789,47.593872,0.9802,0.005238,0.0046,,0.00022811
sift1m,sla,789,46.042345,0.9947,0.005,0.0028,,0.00036927
sift1m,cost,789,47.469901,0.9932,0.005,0.0045,,0.00021901
sift1m,linucb,789,49.404959,0.8355,0.007612,0.0047,,0.0002513
sift1m,naive_dqn,789,51.459697,0.838,0.00782,0.0048,,0.00025293
sift1m,naive_dr,789,51.442066,0.8382,0.007804,0.0058,,0.00025059
sift1m,qnet,789,52.567497,0.8365,0.008008,0.0051,,0.00025345
sift1m,fixed,101112,47.564131,0.9768,0.005264,0.0052,,0.00022739
sift1m,sla,101112,46.035103,0.994,0.005,0.0032,,0.00036649
sift1m,cost,101112,47.491117,0.9937,0.005,0.0045,,0.00021939
sift1m,linucb,101112,49.69521,0.8416,0.007597,0.0055,,0.00025038
sift1m,naive_dqn,101112,52.548996,0.8489,0.007784,0.0043,,0.0002509
sift1m,naive_dr,101112,52.23102,0.8474,0.007771,0.0043,,0.0002499
sift1m,qnet,101112,52.978051,0.8356,0.008085,0.0055,,0.00024909
ag_news,fixed,42,48.331527,0.9871,0.005294,0.0,,0.00024145
ag_news,sla,42,45.648003,0.9985,0.005,0.0,,0.0004277
ag_news,cost,42,47.559378,0.9985,0.005,0.0,,0.00023656
ag_news,linucb,42,56.246192,0.9048,0.007677,0.0,,0.00027948
ag_news,naive_dqn,42,55.298749,0.8755,0.007918,0.0003,,0.00027693
ag_news,naive_dr,42,55.321593,0.8761,0.007905,0.0,,0.00027584
ag_news,qnet,42,55.232077,0.8794,0.007872,0.0024,,0.00033339
ag_news,fixed,123,48.163487,0.9886,0.005253,0.0,,0.00024445
ag_news,sla,123,45.724049,0.9987,0.005,0.0,,0.0004211
ag_news,cost,123,47.56653,0.9984,0.005,0.0,,0.00023535
ag_news,linucb,123,55.213805,0.8994,0.007671,0.0,,0.00027672
ag_news,naive_dqn,123,55.014951,0.8727,0.007889,0.0,,0.0002764
ag_news,naive_dr,123,55.095642,0.8727,0.007898,0.0,,0.00027794
ag_news,qnet,123,54.488278,0.8808,0.007739,0.0002,,0.00028077
ag_news,fixed,456,48.055235,0.9885,0.005242,0.0,,0.00024098
ag_news,sla,456,45.642647,0.9986,0.005,0.0001,,0.00042874
ag_news,cost,456,47.564784,0.9985,0.005,0.0,,0.00023602
ag_news,linucb,456,55.723468,0.9043,0.007622,0.0,,0.00027835
ag_news,naive_dqn,456,55.019001,0.8773,0.007821,0.0001,,0.0002788
ag_news,naive_dr,456,55.051466,0.8766,0.00784,0.0001,,0.00027825
ag_news,qnet,456,54.851147,0.8774,0.007804,0.0,,0.00027649
ag_news,fixed,789,48.32258,0.9899,0.005238,0.0,,0.00023854
ag_news,sla,789,45.41506,0.9988,0.005,0.0,,0.00045249
ag_news,cost,789,47.436473,0.9986,0.005,0.0,,0.00024935
ag_news,linucb,789,55.721192,0.9047,0.007632,0.0,,0.00027528
ag_news,naive_dqn,789,54.653441,0.8737,0.007853,0.0,,0.00028906
ag_news,naive_dr,789,55.13747,0.8741,0.007899,0.0002,,0.00028985
ag_news,qnet,789,54.79083,0.8818,0.00777,0.0002,,0.00027862
ag_news,fixed,101112,48.252355,0.9895,0.005264,0.0,,0.00025756
ag_news,sla,101112,45.302952,0.9986,0.005,0.0001,,0.0004627
ag_news,cost,101112,47.348043,0.9987,0.005,0.0001,,0.0002587
ag_news,linucb,101112,56.177857,0.9094,0.007613,0.0004,,0.00029961
ag_news,naive_dqn,101112,55.858638,0.881,0.007881,0.0004,,0.00030254
ag_news,naive_dr,101112,55.866561,0.8811,0.00787,0.0001,,0.00029464
ag_news,qnet,101112,54.698272,0.8745,0.007891,0.0008,,0.00029747
deep1m,fixed,42,51.047571,1.0,0.005294,0.002,,0.00018934
deep1m,sla,42,47.096121,1.0,0.005,0.0017,,0.00029039
deep1m,cost,42,48.135638,1.0,0.005,0.0033,,0.00018644
deep1m,linucb,42,75.260452,1.0,0.007733,0.0023,,0.00020695
deep1m,naive_dqn,42,79.39719,1.0,0.008146,0.0026,,0.00020628
deep1m,naive_dr,42,79.271686,1.0,0.008135,0.003,,0.00020823
deep1m,qnet,42,79.550298,1.0,0.008162,0.0029,,0.00020677
deep1m,fixed,123,50.594573,1.0,0.005253,0.0036,,0.00019384
deep1m,sla,123,47.046472,1.0,0.005,0.002,,0.00029535
deep1m,cost,123,48.099043,1.0,0.005,0.0037,,0.0001901
deep1m,linucb,123,74.970314,1.0,0.007708,0.0041,,0.00021057
deep1m,naive_dqn,123,79.350291,1.0,0.008147,0.004,,0.00021217
deep1m,naive_dr,123,79.149385,1.0,0.008127,0.004,,0.00021246
deep1m,qnet,123,78.824016,1.0,0.008094,0.0039,,0.0002117
deep1m,fixed,456,50.424898,1.0,0.005242,0.0042,,0.00020001
deep1m,sla,456,47.05172,1.0,0.005,0.0043,,0.00029483
deep1m,cost,456,48.105498,1.0,0.005,0.0063,,0.00018945
deep1m,linucb,456,74.386736,1.0,0.007657,0.0056,,0.00021803
deep1m,naive_dqn,456,79.157789,1.0,0.008125,0.004,,0.00020942
deep1m,naive_dr,456,79.018484,1.0,0.008112,0.0042,,0.00021015
deep1m,qnet,456,79.724465,1.0,0.008184,0.0038,,0.00021115
deep1m,fixed,789,50.481717,1.0,0.005238,0.0039,,0.00018983
deep1m,sla,789,47.051364,1.0,0.005,0.0027,,0.00029486
deep1m,cost,789,48.14449,1.0,0.005,0.0035,,0.00018555
deep1m,linucb,789,74.613488,1.0,0.007669,0.0042,,0.00020795
deep1m,naive_dqn,789,78.600801,1.0,0.008069,0.0048,,0.00020862
deep1m,naive_dr,789,78.842179,1.0,0.008095,0.0037,,0.00021108
deep1m,qnet,789,78.566359,1.0,0.008064,0.0042,,0.00020756
deep1m,fixed,101112,50.763416,1.0,0.005264,0.0044,,0.00018796
deep1m,sla,101112,47.107838,1.0,0.005,0.004,,0.00028922
deep1m,cost,101112,48.15348,1.0,0.005,0.0042,,0.00018465
deep1m,linucb,101112,74.459912,1.0,0.007653,0.0054,,0.00020691
deep1m,naive_dqn,101112,78.232097,1.0,0.008029,0.0032,,0.00020579
deep1m,naive_dr,101112,78.079724,1.0,0.008015,0.004,,0.00020733
deep1m,qnet,101112,79.671403,1.0,0.008173,0.0047,,0.00020566
