scenario,seed,policy,n_queries,buyer_version,revenue,accept_rate,mean_satisfaction,avg_price,avg_nprobe,avg_margin
S1,42,fixed,5000,must_serve,23.472700224988948,1.0,0.22107935171003304,0.005222999999999999,33.9824,0.0046945400449978185
S1,42,hetero_linucb,5000,must_serve,35.374663389994936,1.0,0.35943986807938155,0.007665600000000001,48.9568,0.007074932677999047
S1,123,fixed,5000,must_serve,23.320688554807663,1.0,0.2162154404709351,0.0052461999999999995,34.1008,0.00466413771096156
S1,123,hetero_linucb,5000,must_serve,35.815887829994786,1.0,0.35638458542373835,0.0077596,48.4384,0.007163177565999003
S1,456,fixed,5000,must_serve,23.854202174927124,1.0,0.2221574313721554,0.0052569999999999995,33.9008,0.004770840434985469
S1,456,hetero_linucb,5000,must_serve,36.23953017509407,1.0,0.3623206876056337,0.0077269999999999995,50.2464,0.007247906035018852
S2,42,fixed,5000,must_serve,24.292470350067372,1.0,0.999827121466516,0.005222999999999999,33.9824,0.00485849407001352
S2,42,hetero_linucb,5000,must_serve,35.69350373506259,1.0,0.99792683219689,0.0076376000000000005,49.0224,0.007138700747012533
S2,123,fixed,5000,must_serve,24.358310949767528,1.0,0.999797474214284,0.0052461999999999995,34.1008,0.004871662189953541
S2,123,hetero_linucb,5000,must_serve,36.345906699958974,1.0,0.998354874367561,0.007725400000000002,48.6128,0.007269181339991837
S2,456,fixed,5000,must_serve,24.2585455846761,1.0,0.9997351366898325,0.0052569999999999995,33.9008,0.0048517091169352645
S2,456,hetero_linucb,5000,must_serve,36.20265115986281,1.0,0.9983012141939785,0.0077096000000000005,50.2,0.007240530231972598
S3,42,fixed,5000,must_serve,24.132614649969437,1.0,0.9201907464712944,0.005222999999999999,33.9824,0.0048265229299939245
S3,42,hetero_linucb,5000,must_serve,35.870379735082466,1.0,0.8498620791706638,0.0076622,48.8992,0.0071740759470165245
S3,123,fixed,5000,must_serve,24.247448729968184,1.0,0.9169843905649518,0.0052461999999999995,34.1008,0.004849489745993679
S3,123,hetero_linucb,5000,must_serve,36.46830782036489,1.0,0.8427915375517974,0.007779800000000002,48.4416,0.007293661564073014
S3,456,fixed,5000,must_serve,24.335735709973203,1.0,0.9173414019069358,0.0052569999999999995,33.9008,0.004867147141994675
S3,456,hetero_linucb,5000,must_serve,36.27655693510414,1.0,0.8555661762326148,0.007731,50.1856,0.007255311387020862
S4,42,fixed,5000,must_serve,24.254048695098515,1.0,0.9803014563118355,0.005222999999999999,33.9824,0.004850809739019722
S4,42,hetero_linucb,5000,must_serve,36.142813229788366,1.0,0.9281359855766327,0.007693600000000001,48.8608,0.007228562645957712
S4,123,fixed,5000,must_serve,24.376802119868856,1.0,0.9795197224891957,0.0052461999999999995,34.1008,0.004875360423973808
S4,123,hetero_linucb,5000,must_serve,36.48037556997375,1.0,0.9325937567541743,0.007752000000000001,48.5984,0.007296075113994768
S4,456,fixed,5000,must_serve,24.31924419034253,1.0,0.9787341360133567,0.0052569999999999995,33.9008,0.004863848838068546
S4,456,hetero_linucb,5000,must_serve,36.321931719768884,1.0,0.9330398769267964,0.007743600000000001,50.208,0.007264386343953805
S5,42,fixed,5000,must_serve,24.18060599497155,1.0,0.8168770729596384,0.005222999999999999,33.9824,0.00483612119899434
S5,42,hetero_linucb,5000,must_serve,35.86051803982781,1.0,0.6792460030728648,0.0076397999999999995,48.9488,0.007172103607965586
S5,123,fixed,5000,must_serve,24.350846040115115,1.0,0.8180770124353187,0.0052461999999999995,34.1008,0.0048701692080230456
S5,123,hetero_linucb,5000,must_serve,36.62502112492401,1.0,0.6820882147444364,0.007785800000000001,48.6016,0.00732500422498486
S5,456,fixed,5000,must_serve,24.345139639722003,1.0,0.8114386771609312,0.0052569999999999995,33.9008,0.004869027927944437
S5,456,hetero_linucb,5000,must_serve,36.07264178503371,1.0,0.6745497256324208,0.0076928,50.2096,0.007214528357006796
S6,42,fixed,5000,must_serve,24.279995905285315,1.0,0.9994013716803296,0.005222999999999999,33.9824,0.004855999181057094
S6,42,hetero_linucb,5000,must_serve,35.9256553549319,1.0,0.9976373245024646,0.007635000000000001,49.0176,0.0071851310709863895
S6,123,fixed,5000,must_serve,24.126132070086935,1.0,0.9999731705726472,0.0052461999999999995,34.1008,0.004825226414017426
S6,123,hetero_linucb,5000,must_serve,36.510076339916054,1.0,0.9992007696555862,0.0077686000000000005,48.4288,0.007302015267983218
S6,456,fixed,5000,must_serve,24.484915744823883,1.0,0.9996527191805984,0.0052569999999999995,33.9008,0.004896983148964821
S6,456,hetero_linucb,5000,must_serve,36.46342145512731,1.0,0.9982181871765401,0.007734400000000001,50.1968,0.007292684291025483
S_mix,42,fixed,5000,must_serve,24.342245309814814,1.0,0.8615357340025174,0.005222999999999999,33.9824,0.004868449061963008
S_mix,42,hetero_linucb,5000,must_serve,36.133523554733635,1.0,0.8205557743899613,0.007617400000000001,48.9984,0.007226704710946744
S_mix,123,fixed,5000,must_serve,24.60919811016072,1.0,0.8626712343005575,0.0052461999999999995,34.1008,0.0049218396220321765
S_mix,123,hetero_linucb,5000,must_serve,36.745326245094205,1.0,0.8344731317418247,0.0076922000000000015,48.6224,0.007349065249018884
S_mix,456,fixed,5000,must_serve,24.7882412399594,1.0,0.8681535780996293,0.0052569999999999995,33.9008,0.0049576482479919215
S_mix,456,hetero_linucb,5000,must_serve,36.89425187984749,1.0,0.840246701932687,0.0076884000000000015,50.264,0.007378850375969521
