scenario,seed,policy,n_queries,buyer_version,revenue,accept_rate,mean_satisfaction,avg_price,avg_nprobe,avg_margin
S1,42,fixed,5000,must_serve,24.559065820466305,1.0,0.23162876188296222,0.005222999999999999,33.9824,0.004911813164093299
S1,42,hetero_linucb,5000,must_serve,36.557738978437314,1.0,0.3630290109973375,0.007671600000000001,49.0144,0.007311547795687477
S1,123,fixed,5000,must_serve,24.53972340645853,1.0,0.22784588802826844,0.0052461999999999995,34.1008,0.004907944681291748
S1,123,hetero_linucb,5000,must_serve,36.92544658008924,1.0,0.3601688102566003,0.007764800000000001,48.5104,0.00738508931601788
S1,456,fixed,5000,must_serve,24.72008785318677,1.0,0.22832064699826027,0.0052569999999999995,33.9008,0.0049440175706373995
S1,456,hetero_linucb,5000,must_serve,36.79311231162511,1.0,0.36195965342609226,0.007747000000000001,50.1936,0.00735862246232503
S2,42,fixed,5000,must_serve,24.419510381869962,1.0,0.999837142329104,0.005222999999999999,33.9824,0.004883902076374041
S2,42,hetero_linucb,5000,must_serve,36.40739607718378,1.0,0.998174227727706,0.0076638,48.9152,0.0072814792154368025
S2,123,fixed,5000,must_serve,24.590197276632573,1.0,0.999799136318342,0.0052461999999999995,34.1008,0.004918039455326553
S2,123,hetero_linucb,5000,must_serve,36.92515659414908,1.0,0.9984740870302079,0.007765,48.512,0.00738503131882986
S2,456,fixed,5000,must_serve,24.569431915095613,1.0,0.9997635750083096,0.0052569999999999995,33.9008,0.004913886383019156
S2,456,hetero_linucb,5000,must_serve,36.55350127070387,1.0,0.9985126774477023,0.007686600000000002,50.2256,0.007310700254140793
S3,42,fixed,5000,must_serve,24.552236607126904,1.0,0.9198373219714009,0.005222999999999999,33.9824,0.004910447321425425
S3,42,hetero_linucb,5000,must_serve,36.32921785685521,1.0,0.8409670818637074,0.007647399999999999,49.0304,0.007265843571371026
S3,123,fixed,5000,must_serve,24.540696393774127,1.0,0.9127212319095064,0.0052461999999999995,34.1008,0.004908139278754871
S3,123,hetero_linucb,5000,must_serve,36.979254052108246,1.0,0.8397134026492111,0.007767200000000001,48.5136,0.0073958508104216775
S3,456,fixed,5000,must_serve,24.59998790454323,1.0,0.915494963663887,0.0052569999999999995,33.9008,0.004919997580908705
S3,456,hetero_linucb,5000,must_serve,36.72926630562168,1.0,0.8438521494864908,0.007724000000000001,50.2256,0.007345853261124344
S4,42,fixed,5000,must_serve,24.491650169881584,1.0,0.9774658777547073,0.005222999999999999,33.9824,0.0048983300339763515
S4,42,hetero_linucb,5000,must_serve,36.503275465949216,1.0,0.9233256740733825,0.007652199999999999,48.912,0.00730065509318984
S4,123,fixed,5000,must_serve,24.589398944622427,1.0,0.9753468190446906,0.0052461999999999995,34.1008,0.004917879788924521
S4,123,hetero_linucb,5000,must_serve,37.125496891249924,1.0,0.9243853083166781,0.007776600000000001,48.5072,0.00742509937824998
S4,456,fixed,5000,must_serve,24.40575562438674,1.0,0.97588120768499,0.0052569999999999995,33.9008,0.00488115112487739
S4,456,hetero_linucb,5000,must_serve,36.44601630616751,1.0,0.9273135883732327,0.007707599999999999,50.16,0.007289203261233541
S5,42,fixed,5000,must_serve,24.396047180253976,1.0,0.8344719792050405,0.005222999999999999,33.9824,0.004879209436050849
S5,42,hetero_linucb,5000,must_serve,36.49383348705745,1.0,0.7498687130629911,0.0076534,48.9808,0.007298766697411518
S5,123,fixed,5000,must_serve,24.38311233190476,1.0,0.8136036414512918,0.0052461999999999995,34.1008,0.004876622466380988
S5,123,hetero_linucb,5000,must_serve,37.04305302814737,1.0,0.7418413872932903,0.0077794,48.5056,0.007408610605629488
S5,456,fixed,5000,must_serve,24.727109884013036,1.0,0.8465631693776667,0.0052569999999999995,33.9008,0.004945421976802638
S5,456,hetero_linucb,5000,must_serve,36.78051103267935,1.0,0.7465986734971869,0.0077162,50.2144,0.007356102206535917
S6,42,fixed,5000,must_serve,24.541870825123986,1.0,0.9996942671192306,0.005222999999999999,33.9824,0.004908374165024841
S6,42,hetero_linucb,5000,must_serve,36.34401961168278,1.0,0.9988988430699975,0.0076232,49.056,0.007268803922336596
S6,123,fixed,5000,must_serve,24.726580980897385,1.0,0.9998369290469257,0.0052461999999999995,34.1008,0.00494531619617953
S6,123,hetero_linucb,5000,must_serve,36.909284672108434,1.0,0.9988164059137647,0.007757000000000001,48.4944,0.007381856934421697
S6,456,fixed,5000,must_serve,24.725572344948148,1.0,0.9998833909306529,0.0052569999999999995,33.9008,0.004945114468989662
S6,456,hetero_linucb,5000,must_serve,36.740575262243475,1.0,0.998887294522274,0.007705600000000001,50.256,0.007348115052448725
S_mix,42,fixed,5000,must_serve,24.552713525886475,1.0,0.8678575826938358,0.005222999999999999,33.9824,0.004910542705177329
S_mix,42,hetero_linucb,5000,must_serve,36.4315427598739,1.0,0.821615336706519,0.007642000000000001,48.9968,0.007286308551974827
S_mix,123,fixed,5000,must_serve,24.643837418337366,1.0,0.8635478718996615,0.0052461999999999995,34.1008,0.004928767483667517
S_mix,123,hetero_linucb,5000,must_serve,36.83682715474451,1.0,0.8311487592048781,0.007724600000000001,48.6288,0.007367365430948929
S_mix,456,fixed,5000,must_serve,24.724979644614322,1.0,0.8690610025744391,0.0052569999999999995,33.9008,0.004944995928922901
S_mix,456,hetero_linucb,5000,must_serve,36.59121028626207,1.0,0.8361939755809635,0.0076760000000000005,50.2704,0.007318242057252442
